"DateTime","IAQ Index
室內空氣指數","PM1超細懸浮微粒","PM2.5細懸浮微粒","PM10懸浮顆粒","CO2二氧化碳","CH2O甲醛","TVOC揮發物質","TEMP溫度","HUMD濕度","Fungi黴菌指數"
,"","μg/m³","μg/m³","μg/m³","ppm","ppm","ppm","℃","%",""
"2022/04/28 00:00","25.00","5.00","7.00","9.00","411.00","0.014","0.020","27.50","78.50","241.42"
"2022/04/28 00:01","25.00","6.00","7.00","8.00","411.00","0.013","0.021","27.51","78.49","240.97"
"2022/04/28 00:02","25.00","7.00","7.00","11.00","411.00","0.013","0.021","27.49","78.48","240.81"
"2022/04/28 00:03","25.00","7.00","7.00","9.00","410.00","0.013","0.020","27.50","78.44","241.42"
"2022/04/28 00:04","25.00","6.00","7.00","9.00","412.00","0.013","0.022","27.50","78.46","241.15"
"2022/04/28 00:05","25.00","6.00","7.00","10.00","412.00","0.013","0.020","27.50","78.50","241.13"
"2022/04/28 00:06","25.00","6.00","7.00","9.00","414.00","0.013","0.020","27.50","78.54","241.47"
"2022/04/28 00:07","25.00","6.00","7.00","9.00","413.00","0.013","0.021","27.49","78.48","241.30"
"2022/04/28 00:08","25.00","7.00","7.00","10.00","408.00","0.012","0.020","27.50","78.56","241.53"
"2022/04/28 00:09","25.00","6.00","7.00","10.00","407.00","0.014","0.020","27.47","78.53","242.12"
"2022/04/28 00:10","25.00","6.00","7.00","10.00","405.00","0.013","0.020","27.49","78.53","242.57"
"2022/04/28 00:11","25.00","7.00","7.00","10.00","407.00","0.012","0.020","27.46","78.57","243.00"
"2022/04/28 00:12","25.00","7.00","7.00","10.00","408.00","0.012","0.020","27.47","78.61","243.36"
"2022/04/28 00:13","25.00","7.00","7.00","10.00","407.00","0.013","0.020","27.47","78.58","243.63"
"2022/04/28 00:14","25.00","7.00","7.00","10.00","406.00","0.013","0.020","27.43","78.62","243.86"
"2022/04/28 00:15","25.00","7.00","7.00","11.00","405.00","0.013","0.021","27.43","78.64","244.67"
"2022/04/28 00:16","25.00","6.00","7.00","9.00","404.00","0.015","0.025","27.47","78.61","244.28"
"2022/04/28 00:17","25.00","7.00","7.00","9.00","403.00","0.015","0.023","27.46","78.64","243.33"
"2022/04/28 00:18","25.00","6.00","7.00","9.00","404.00","0.013","0.020","27.46","78.67","242.49"
"2022/04/28 00:19","25.00","6.00","7.00","9.00","406.00","0.013","0.021","27.46","78.75","241.90"
"2022/04/28 00:20","25.00","6.00","7.00","9.00","402.00","0.013","0.020","27.47","78.68","241.21"
"2022/04/28 00:21","25.00","6.00","7.00","9.00","403.00","0.014","0.027","27.49","78.65","240.55"
"2022/04/28 00:22","25.00","6.00","7.00","9.00","402.00","0.015","0.027","27.46","78.68","239.96"
