"DateTime","IAQ Index
室內空氣指數","PM1超細懸浮微粒","PM2.5細懸浮微粒","PM10懸浮顆粒","CO2二氧化碳","CH2O甲醛","TVOC揮發物質","TEMP溫度","HUMD濕度","Fungi黴菌指數"
,"","μg/m³","μg/m³","μg/m³","ppm","ppm","ppm","℃","%",""
"2022/05/12 00:00","26.00","3.00","3.00","3.00","424.00","0.012","0.034","25.50","84.71","99.77"
"2022/05/12 00:01","26.00","3.00","3.00","3.00","422.00","0.012","0.031","25.50","84.68","99.34"
"2022/05/12 00:02","26.00","3.00","3.00","3.00","422.00","0.012","0.038","25.51","84.68","99.00"
"2022/05/12 00:03","26.00","2.00","3.00","3.00","422.00","0.012","0.038","25.50","84.68","98.65"
"2022/05/12 00:04","26.00","2.00","3.00","3.00","424.00","0.011","0.033","25.54","84.73","98.56"
"2022/05/12 00:05","26.00","2.00","3.00","3.00","426.00","0.013","0.032","25.52","84.67","98.34"
"2022/05/12 00:06","26.00","2.00","3.00","3.00","424.00","0.011","0.035","25.52","84.64","98.20"
"2022/05/12 00:07","26.00","2.00","3.00","3.00","420.00","0.011","0.037","25.52","84.69","97.91"
"2022/05/12 00:08","26.00","1.00","3.00","3.00","419.00","0.012","0.032","25.51","84.66","97.57"
"2022/05/12 00:09","26.00","2.00","3.00","3.00","419.00","0.012","0.031","25.52","84.72","97.34"
"2022/05/12 00:10","26.00","2.00","3.00","3.00","421.00","0.012","0.031","25.54","84.65","97.15"
"2022/05/12 00:11","26.00","2.00","3.00","3.00","424.00","0.012","0.036","25.52","84.68","97.38"
"2022/05/12 00:12","26.00","2.00","3.00","3.00","422.00","0.012","0.030","25.54","84.69","97.31"
"2022/05/12 00:13","26.00","2.00","3.00","3.00","421.00","0.012","0.037","25.55","84.66","97.21"
"2022/05/12 00:14","26.00","3.00","3.00","3.00","422.00","0.012","0.032","25.54","84.70","97.14"
"2022/05/12 00:15","26.00","2.00","3.00","3.00","422.00","0.012","0.034","25.54","84.70","97.04"
"2022/05/12 00:16","26.00","3.00","3.00","4.00","421.00","0.012","0.035","25.55","84.69","97.29"
"2022/05/12 00:17","26.00","2.00","3.00","3.00","424.00","0.012","0.038","25.51","84.71","97.17"
"2022/05/12 00:18","26.00","2.00","3.00","4.00","425.00","0.012","0.034","25.54","84.63","97.45"
"2022/05/12 00:19","26.00","2.00","3.00","3.00","425.00","0.012","0.033","25.52","84.66","97.39"
