"DateTime","IAQ Index
室內空氣指數","PM1超細懸浮微粒","PM2.5細懸浮微粒","PM10懸浮顆粒","CO2二氧化碳","CH2O甲醛","TVOC揮發物質","TEMP溫度","HUMD濕度","Fungi黴菌指數"
,"","μg/m³","μg/m³","μg/m³","ppm","ppm","ppm","℃","%",""
"2022/03/16 00:00","36.00","2.00","1.00","2.00","580.00","0.038","0.124","24.03","75.26","110.08"
"2022/03/16 00:01","36.00","1.00","1.00","2.00","579.00","0.038","0.125","24.04","75.25","109.86"
"2022/03/16 00:02","36.00","2.00","1.00","2.00","577.00","0.038","0.124","24.03","75.31","109.59"
"2022/03/16 00:03","36.00","2.00","1.00","2.00","577.00","0.038","0.123","24.06","75.31","109.34"
"2022/03/16 00:04","36.00","1.00","1.00","2.00","576.00","0.037","0.123","24.04","75.25","109.07"
"2022/03/16 00:05","36.00","2.00","1.00","2.00","577.00","0.038","0.126","24.02","75.25","108.78"
"2022/03/16 00:06","36.00","2.00","1.00","2.00","576.00","0.038","0.121","24.04","75.26","108.53"
"2022/03/16 00:07","35.00","2.00","1.00","2.00","575.00","0.038","0.138","24.00","75.30","108.30"
"2022/03/16 00:08","36.00","2.00","1.00","2.00","578.00","0.038","0.125","24.00","75.30","108.11"
"2022/03/16 00:09","36.00","1.00","1.00","2.00","579.00","0.038","0.139","24.02","75.29","107.93"
"2022/03/16 00:10","35.00","1.00","1.00","2.00","575.00","0.038","0.126","24.02","75.29","107.75"
"2022/03/16 00:11","35.00","2.00","1.00","2.00","573.00","0.038","0.121","24.00","75.35","107.45"
"2022/03/16 00:12","35.00","2.00","1.00","2.00","575.00","0.038","0.127","24.00","75.35","107.17"
"2022/03/16 00:13","35.00","2.00","1.00","2.00","573.00","0.038","0.125","24.03","75.34","107.04"
"2022/03/16 00:14","35.00","1.00","1.00","2.00","571.00","0.038","0.124","24.00","75.35","106.82"
"2022/03/16 00:15","35.00","3.00","1.00","2.00","571.00","0.038","0.123","24.03","75.31","106.59"
"2022/03/16 00:16","35.00","2.00","1.00","2.00","570.00","0.038","0.123","24.03","75.27","106.39"
"2022/03/16 00:17","35.00","2.00","1.00","2.00","571.00","0.038","0.123","24.03","75.30","106.24"
"2022/03/16 00:18","35.00","2.00","1.00","2.00","573.00","0.038","0.124","24.03","75.31","106.13"
"2022/03/16 00:19","35.00","2.00","1.00","2.00","574.00","0.038","0.123","24.00","75.29","106.07"
"2022/03/16 00:20","35.00","2.00","1.00","2.00","572.00","0.038","0.123","24.03","75.30","105.99"
"2022/03/16 00:21","35.00","2.00","1.00","2.00","571.00","0.038","0.125","24.03","75.29","105.86"
"2022/03/16 00:22","35.00","2.00","1.00","2.00","568.00","0.038","0.124","24.00","75.33","105.65"
"2022/03/16 00:23","35.00","2.00","1.00","2.00","568.00","0.038","0.123","23.99","75.30","105.38"
"2022/03/16 00:24","35.00","2.00","1.00","2.00","571.00","0.038","0.125","24.00","75.28","105.21"
"2022/03/16 00:25","35.00","2.00","1.00","2.00","573.00","0.038","0.125","24.00","75.34","105.09"
"2022/03/16 00:26","35.00","2.00","1.00","2.00","573.00","0.038","0.132","24.00","75.33","105.05"
"2022/03/16 00:27","35.00","1.00","1.00","2.00","575.00","0.038","0.136","24.00","75.33","105.01"
"2022/03/16 00:28","35.00","1.00","1.00","2.00","571.00","0.038","0.123","24.02","75.32","104.93"
"2022/03/16 00:29","35.00","2.00","1.00","2.00","571.00","0.038","0.134","23.97","75.33","104.80"
"2022/03/16 00:30","35.00","2.00","1.00","2.00","570.00","0.038","0.124","23.99","75.30","104.66"
"2022/03/16 00:31","35.00","2.00","1.00","2.00","569.00","0.038","0.127","23.99","75.34","104.49"
"2022/03/16 00:32","35.00","2.00","1.00","2.00","570.00","0.038","0.133","23.99","75.35","104.37"
"2022/03/16 00:33","35.00","1.00","1.00","2.00","571.00","0.038","0.135","23.99","75.34","104.26"
"2022/03/16 00:34","35.00","1.00","1.00","2.00","569.00","0.038","0.130","23.99","75.30","104.11"
"2022/03/16 00:35","35.00","2.00","1.00","2.00","565.00","0.038","0.125","23.99","75.38","103.90"
"2022/03/16 00:36","35.00","2.00","1.00","2.00","566.00","0.038","0.139","23.99","75.37","103.64"
"2022/03/16 00:37","35.00","2.00","1.00","2.00","566.00","0.038","0.133","23.97","75.36","103.43"
"2022/03/16 00:38","35.00","2.00","1.00","2.00","565.00","0.038","0.127","23.97","75.33","103.24"
"2022/03/16 00:39","35.00","1.00","1.00","2.00","564.00","0.038","0.128","23.97","75.34","102.99"
"2022/03/16 00:40","35.00","2.00","1.00","2.00","562.00","0.038","0.134","23.96","75.35","102.72"
"2022/03/16 00:41","35.00","2.00","1.00","2.00","563.00","0.038","0.133","23.96","75.41","102.40"
"2022/03/16 00:42","35.00","2.00","1.00","2.00","561.00","0.038","0.136","23.94","75.39","102.12"
"2022/03/16 00:43","35.00","2.00","1.00","2.00","561.00","0.038","0.129","23.96","75.36","101.86"
"2022/03/16 00:44","34.00","2.00","1.00","2.00","558.00","0.038","0.135","23.97","75.39","101.54"
"2022/03/16 00:45","34.00","2.00","1.00","2.00","558.00","0.038","0.131","23.96","75.38","101.30"
"2022/03/16 00:46","34.00","1.00","1.00","2.00","557.00","0.038","0.130","23.97","75.39","101.02"
"2022/03/16 00:47","34.00","2.00","1.00","2.00","558.00","0.038","0.133","23.97","75.34","100.75"
"2022/03/16 00:48","34.00","2.00","1.00","2.00","558.00","0.038","0.137","23.94","75.39","100.49"
"2022/03/16 00:49","35.00","2.00","1.00","2.00","560.00","0.038","0.135","24.00","75.38","100.36"
"2022/03/16 00:50","34.00","2.00","1.00","2.00","559.00","0.038","0.136","23.97","75.33","100.24"
"2022/03/16 00:51","34.00","2.00","1.00","2.00","559.00","0.038","0.134","23.99","75.38","100.15"
"2022/03/16 00:52","34.00","2.00","1.00","2.00","558.00","0.038","0.137","23.96","75.37","100.04"
"2022/03/16 00:53","35.00","2.00","1.00","2.00","561.00","0.038","0.130","23.99","75.40","99.95"
"2022/03/16 00:54","35.00","1.00","1.00","2.00","560.00","0.038","0.131","23.99","75.35","99.95"
"2022/03/16 00:55","34.00","2.00","1.00","2.00","557.00","0.038","0.135","23.97","75.36","99.85"
"2022/03/16 00:56","35.00","2.00","1.00","2.00","561.00","0.038","0.133","23.96","75.33","99.81"
"2022/03/16 00:57","35.00","1.00","1.00","2.00","560.00","0.038","0.129","23.97","75.33","99.79"
"2022/03/16 00:58","34.00","3.00","1.00","2.00","559.00","0.038","0.132","23.99","75.35","99.74"
"2022/03/16 00:59","34.00","2.00","1.00","2.00","558.00","0.038","0.127","23.96","75.33","99.65"
"2022/03/16 01:00","34.00","2.00","1.00","2.00","558.00","0.038","0.129","23.96","75.36","99.55"
"2022/03/16 01:01","34.00","1.00","1.00","2.00","558.00","0.038","0.134","23.97","75.32","99.48"
"2022/03/16 01:02","34.00","1.00","1.00","2.00","558.00","0.038","0.137","23.94","75.35","99.44"
"2022/03/16 01:03","34.00","2.00","1.00","2.00","557.00","0.038","0.131","23.97","75.32","99.33"
"2022/03/16 01:04","34.00","2.00","1.00","2.00","555.00","0.038","0.132","23.97","75.32","99.25"
"2022/03/16 01:05","34.00","2.00","1.00","2.00","555.00","0.038","0.132","23.99","75.34","99.11"
"2022/03/16 01:06","34.00","2.00","1.00","3.00","555.00","0.038","0.134","23.93","75.31","99.33"
"2022/03/16 01:07","34.00","2.00","1.00","2.00","554.00","0.038","0.133","23.96","75.33","99.43"
"2022/03/16 01:08","34.00","2.00","1.00","2.00","552.00","0.038","0.132","23.96","75.35","99.16"
"2022/03/16 01:09","34.00","2.00","1.00","2.00","549.00","0.038","0.136","23.96","75.35","98.81"
"2022/03/16 01:10","34.00","2.00","1.00","2.00","551.00","0.038","0.134","23.96","75.33","98.55"
"2022/03/16 01:11","34.00","1.00","1.00","2.00","554.00","0.038","0.127","23.96","75.32","98.36"
"2022/03/16 01:12","34.00","2.00","1.00","2.00","555.00","0.038","0.133","23.94","75.35","98.22"
"2022/03/16 01:13","34.00","1.00","1.00","2.00","553.00","0.038","0.136","23.97","75.41","98.09"
"2022/03/16 01:14","34.00","2.00","1.00","2.00","555.00","0.038","0.132","23.94","75.40","97.98"
