"DateTime","IAQ Index
室內空氣指數","PM1超細懸浮微粒","PM2.5細懸浮微粒","PM10懸浮顆粒","CO2二氧化碳","CH2O甲醛","TVOC揮發物質","TEMP溫度","HUMD濕度","Fungi黴菌指數"
,"","μg/m³","μg/m³","μg/m³","ppm","ppm","ppm","℃","%",""
"2023/01/23 00:00","43.00","11.00","13.00","15.00","423.00","0.009","0.020","19.03","82.69","15.10"
"2023/01/23 00:01","43.00","10.00","13.00","14.00","420.00","0.010","0.020","19.06","82.71","14.28"
"2023/01/23 00:02","43.00","10.00","13.00","15.00","420.00","0.010","0.020","19.06","82.66","13.09"
"2023/01/23 00:03","43.00","11.00","13.00","14.00","418.00","0.010","0.020","19.06","82.70","12.13"
"2023/01/23 00:04","43.00","10.00","13.00","14.00","419.00","0.010","0.020","19.02","82.72","10.98"
"2023/01/23 00:05","40.00","10.00","12.00","14.00","418.00","0.010","0.020","19.03","82.74","10.65"
"2023/01/23 00:06","40.00","9.00","12.00","14.00","419.00","0.010","0.020","19.04","82.73","9.80"
"2023/01/23 00:07","40.00","10.00","12.00","14.00","418.00","0.009","0.020","19.03","82.74","8.88"
"2023/01/23 00:08","40.00","11.00","12.00","14.00","419.00","0.010","0.020","19.03","82.74","8.04"
"2023/01/23 00:09","40.00","10.00","12.00","13.00","419.00","0.009","0.020","19.03","82.72","7.28"
"2023/01/23 00:10","40.00","10.00","12.00","14.00","421.00","0.009","0.020","19.00","82.71","6.59"
"2023/01/23 00:11","40.00","9.00","12.00","13.00","421.00","0.010","0.020","19.00","82.74","5.97"
"2023/01/23 00:12","36.00","11.00","11.00","13.00","419.00","0.010","0.020","19.00","82.72","5.50"
"2023/01/23 00:13","36.00","11.00","11.00","13.00","418.00","0.010","0.020","19.02","82.69","4.98"
"2023/01/23 00:14","36.00","9.00","11.00","12.00","417.00","0.009","0.020","19.00","82.71","4.51"
"2023/01/23 00:15","36.00","9.00","11.00","12.00","416.00","0.009","0.020","19.00","82.76","4.08"
"2023/01/23 00:16","36.00","11.00","11.00","13.00","417.00","0.010","0.020","19.00","82.70","3.70"
"2023/01/23 00:17","36.00","10.00","11.00","13.00","418.00","0.009","0.020","19.02","82.68","3.35"
"2023/01/23 00:18","36.00","10.00","11.00","13.00","417.00","0.009","0.022","19.00","82.71","3.08"
"2023/01/23 00:19","36.00","10.00","11.00","13.00","420.00","0.009","0.020","18.99","82.71","2.79"
"2023/01/23 00:20","36.00","9.00","11.00","12.00","420.00","0.009","0.020","19.02","82.73","2.53"
"2023/01/23 00:21","36.00","10.00","11.00","12.00","420.00","0.009","0.020","19.00","82.76","2.29"
"2023/01/23 00:22","36.00","9.00","11.00","13.00","418.00","0.009","0.020","18.97","82.84","2.07"
"2023/01/23 00:23","36.00","9.00","11.00","13.00","419.00","0.009","0.020","18.97","82.89","1.88"
"2023/01/23 00:24","36.00","9.00","11.00","13.00","416.00","0.009","0.021","18.94","82.90","1.70"
"2023/01/23 00:25","36.00","8.00","11.00","13.00","414.00","0.009","0.022","18.93","82.91","1.57"
"2023/01/23 00:26","36.00","9.00","11.00","14.00","414.00","0.009","0.020","19.00","82.89","1.42"
"2023/01/23 00:27","36.00","9.00","11.00","13.00","415.00","0.009","0.020","18.97","82.93","1.28"
"2023/01/23 00:28","36.00","10.00","11.00","13.00","414.00","0.009","0.020","18.96","82.90","1.16"
"2023/01/23 00:29","36.00","9.00","11.00","13.00","412.00","0.009","0.020","18.96","82.90","1.05"
"2023/01/23 00:30","36.00","11.00","11.00","13.00","414.00","0.009","0.020","18.96","82.90","0.95"
"2023/01/23 00:31","36.00","9.00","11.00","12.00","414.00","0.009","0.021","18.94","82.90","0.88"
"2023/01/23 00:32","36.00","10.00","11.00","12.00","416.00","0.009","0.023","18.97","82.82","0.79"
"2023/01/23 00:33","36.00","9.00","11.00","12.00","416.00","0.009","0.025","18.94","82.92","0.72"
"2023/01/23 00:34","36.00","9.00","11.00","12.00","416.00","0.009","0.026","18.93","82.91","0.65"
"2023/01/23 00:35","36.00","9.00","11.00","11.00","416.00","0.009","0.020","18.94","82.86","0.59"
"2023/01/23 00:36","36.00","9.00","11.00","11.00","414.00","0.009","0.023","18.93","82.87","0.53"
"2023/01/23 00:37","36.00","8.00","11.00","11.00","414.00","0.009","0.023","18.94","82.86","0.49"
"2023/01/23 00:38","36.00","8.00","11.00","12.00","413.00","0.009","0.021","18.93","82.85","0.45"
"2023/01/23 00:39","36.00","8.00","11.00","12.00","412.00","0.009","0.025","18.93","82.91","0.40"
"2023/01/23 00:40","36.00","8.00","11.00","12.00","411.00","0.009","0.024","18.92","82.97","0.37"
"2023/01/23 00:41","36.00","8.00","11.00","12.00","411.00","0.009","0.023","18.94","83.01","0.33"
"2023/01/23 00:42","33.00","9.00","10.00","11.00","411.00","0.009","0.022","18.92","83.07","0.30"
"2023/01/23 00:43","33.00","8.00","10.00","11.00","412.00","0.009","0.024","18.92","83.08","0.27"
"2023/01/23 00:44","33.00","8.00","10.00","11.00","415.00","0.009","0.023","18.92","83.12","0.25"
"2023/01/23 00:45","33.00","8.00","10.00","11.00","416.00","0.009","0.021","18.92","83.14","0.23"
"2023/01/23 00:46","33.00","9.00","10.00","10.00","418.00","0.009","0.024","18.92","83.09","0.20"
"2023/01/23 00:47","33.00","9.00","10.00","11.00","417.00","0.009","0.021","18.92","83.09","0.19"
"2023/01/23 00:48","33.00","8.00","10.00","11.00","416.00","0.009","0.021","18.94","83.06","0.17"
"2023/01/23 00:49","33.00","7.00","10.00","11.00","417.00","0.009","0.023","18.94","83.06","0.15"
"2023/01/23 00:50","33.00","9.00","10.00","11.00","416.00","0.009","0.020","18.96","83.00","0.14"
"2023/01/23 00:51","33.00","7.00","10.00","11.00","417.00","0.009","0.021","18.93","83.02","0.13"
"2023/01/23 00:52","30.00","8.00","9.00","10.00","420.00","0.009","0.024","18.93","83.00","0.11"
"2023/01/23 00:53","30.00","8.00","9.00","10.00","421.00","0.009","0.020","18.93","82.99","0.10"
"2023/01/23 00:54","30.00","9.00","9.00","10.00","417.00","0.009","0.024","18.92","83.00","0.09"
"2023/01/23 00:55","30.00","8.00","9.00","10.00","419.00","0.009","0.025","18.93","83.05","0.09"
"2023/01/23 00:56","30.00","8.00","9.00","11.00","420.00","0.009","0.023","18.92","83.00","0.08"
"2023/01/23 00:57","30.00","8.00","9.00","11.00","421.00","0.009","0.022","18.92","83.06","0.07"
"2023/01/23 00:58","30.00","8.00","9.00","11.00","421.00","0.009","0.025","18.92","83.03","0.06"
"2023/01/23 00:59","30.00","9.00","9.00","11.00","420.00","0.009","0.028","18.92","83.00","0.06"
"2023/01/23 01:00","30.00","8.00","9.00","10.00","421.00","0.009","0.026","18.90","83.05","0.05"
"2023/01/23 01:01","30.00","8.00","9.00","10.00","420.00","0.009","0.022","18.90","83.01","0.05"
"2023/01/23 01:02","30.00","8.00","9.00","10.00","421.00","0.009","0.027","18.92","82.99","0.04"
"2023/01/23 01:03","30.00","7.00","9.00","10.00","421.00","0.009","0.026","18.92","82.99","0.04"
"2023/01/23 01:04","30.00","7.00","9.00","10.00","422.00","0.009","0.023","18.92","83.07","0.04"
"2023/01/23 01:05","30.00","7.00","9.00","10.00","422.00","0.009","0.027","18.90","83.05","0.03"
"2023/01/23 01:06","30.00","9.00","9.00","10.00","421.00","0.009","0.025","18.90","83.10","0.03"
"2023/01/23 01:07","30.00","8.00","9.00","10.00","422.00","0.009","0.024","18.90","83.11","0.03"
"2023/01/23 01:08","30.00","8.00","9.00","10.00","421.00","0.009","0.024","18.89","83.07","0.02"
"2023/01/23 01:09","30.00","8.00","9.00","10.00","421.00","0.009","0.021","18.92","83.14","0.02"
"2023/01/23 01:10","30.00","7.00","9.00","10.00","419.00","0.009","0.022","18.90","83.16","0.02"
"2023/01/23 01:11","30.00","8.00","9.00","10.00","422.00","0.009","0.024","18.89","83.21","0.02"
"2023/01/23 01:12","30.00","8.00","9.00","11.00","425.00","0.009","0.020","18.89","83.19","0.02"
"2023/01/23 01:13","30.00","7.00","9.00","10.00","424.00","0.009","0.025","18.89","83.23","0.02"
"2023/01/23 01:14","30.00","7.00","9.00","10.00","423.00","0.009","0.021","18.92","83.21","0.01"
"2023/01/23 01:15","30.00","7.00","9.00","10.00","422.00","0.009","0.021","18.92","83.23","0.01"
"2023/01/23 01:16","30.00","8.00","9.00","10.00","423.00","0.009","0.020","18.92","83.26","0.01"
"2023/01/23 01:17","30.00","7.00","9.00","10.00","421.00","0.009","0.020","18.89","83.21","0.01"
"2023/01/23 01:18","30.00","7.00","9.00","10.00","421.00","0.009","0.023","18.89","83.23","0.01"
"2023/01/23 01:19","30.00","7.00","9.00","10.00","421.00","0.009","0.020","18.87","83.31","0.01"
"2023/01/23 01:20","30.00","7.00","9.00","10.00","420.00","0.009","0.020","18.89","83.34","0.01"
"2023/01/23 01:21","30.00","7.00","9.00","10.00","421.00","0.009","0.021","18.89","83.34","0.01"
"2023/01/23 01:22","30.00","7.00","9.00","9.00","424.00","0.010","0.024","18.90","83.24","0.01"
"2023/01/23 01:23","26.00","6.00","8.00","9.00","426.00","0.009","0.024","18.89","83.34","0.01"
"2023/01/23 01:24","26.00","7.00","8.00","9.00","426.00","0.009","0.023","18.89","83.38","0.01"
"2023/01/23 01:25","26.00","7.00","8.00","9.00","426.00","0.009","0.021","18.87","83.32","0.00"
"2023/01/23 01:26","26.00","6.00","8.00","9.00","422.00","0.009","0.022","18.89","83.44","0.00"
"2023/01/23 01:27","26.00","7.00","8.00","10.00","420.00","0.009","0.020","18.90","83.45","0.00"
"2023/01/23 01:28","26.00","7.00","8.00","9.00","420.00","0.009","0.020","18.89","83.46","0.00"
"2023/01/23 01:29","26.00","7.00","8.00","9.00","416.00","0.009","0.020","18.89","83.48","0.00"
"2023/01/23 01:30","26.00","7.00","8.00","9.00","417.00","0.010","0.021","18.86","83.44","0.00"
