"DateTime","IAQ Index
室內空氣指數","PM1超細懸浮微粒","PM2.5細懸浮微粒","PM10懸浮顆粒","CO2二氧化碳","CH2O甲醛","TVOC揮發物質","TEMP溫度","HUMD濕度","Fungi黴菌指數"
,"","μg/m³","μg/m³","μg/m³","ppm","ppm","ppm","℃","%",""
"2022/06/24 00:00","27.00","2.00","2.00","2.00","433.00","0.023","0.087","27.25","54.38","230.22"
"2022/06/24 00:01","27.00","2.00","2.00","2.00","432.00","0.023","0.085","27.26","54.44","229.82"
"2022/06/24 00:02","27.00","1.00","2.00","2.00","432.00","0.023","0.087","27.25","54.48","229.35"
"2022/06/24 00:03","26.00","2.00","2.00","2.00","431.00","0.023","0.085","27.26","54.48","228.89"
"2022/06/24 00:04","27.00","2.00","2.00","2.00","432.00","0.023","0.083","27.26","54.48","228.50"
"2022/06/24 00:05","27.00","2.00","2.00","2.00","434.00","0.023","0.089","27.26","54.58","228.15"
"2022/06/24 00:06","27.00","1.00","2.00","2.00","434.00","0.023","0.083","27.23","54.61","227.81"
"2022/06/24 00:07","27.00","2.00","2.00","2.00","437.00","0.022","0.086","27.23","54.66","227.53"
"2022/06/24 00:08","27.00","1.00","2.00","2.00","438.00","0.021","0.081","27.22","54.61","227.35"
"2022/06/24 00:09","27.00","1.00","2.00","2.00","437.00","0.023","0.081","27.22","54.78","227.12"
"2022/06/24 00:10","27.00","1.00","2.00","2.00","435.00","0.022","0.080","27.23","54.67","226.92"
"2022/06/24 00:11","27.00","2.00","2.00","2.00","436.00","0.021","0.087","27.26","54.70","226.73"
"2022/06/24 00:12","27.00","1.00","2.00","2.00","434.00","0.022","0.084","27.26","54.67","226.61"
"2022/06/24 00:13","26.00","2.00","2.00","2.00","431.00","0.022","0.083","27.25","54.72","226.43"
"2022/06/24 00:14","26.00","1.00","2.00","2.00","430.00","0.021","0.084","27.26","54.63","226.24"
"2022/06/24 00:15","27.00","2.00","2.00","2.00","433.00","0.021","0.083","27.28","54.58","226.10"
"2022/06/24 00:16","26.00","2.00","2.00","2.00","431.00","0.021","0.084","27.26","54.60","225.97"
"2022/06/24 00:17","26.00","2.00","2.00","2.00","429.00","0.021","0.084","27.26","54.55","225.79"
"2022/06/24 00:18","26.00","2.00","2.00","2.00","430.00","0.023","0.082","27.23","54.55","225.64"
"2022/06/24 00:19","26.00","2.00","2.00","2.00","431.00","0.022","0.078","27.22","54.64","225.41"
"2022/06/24 00:20","27.00","1.00","2.00","2.00","433.00","0.021","0.081","27.22","54.47","225.29"
"2022/06/24 00:21","27.00","2.00","2.00","2.00","435.00","0.022","0.079","27.21","54.56","225.17"
"2022/06/24 00:22","27.00","2.00","2.00","2.00","437.00","0.023","0.083","27.21","54.63","225.08"
"2022/06/24 00:23","27.00","2.00","2.00","2.00","437.00","0.022","0.084","27.19","54.64","225.04"
"2022/06/24 00:24","27.00","3.00","2.00","2.00","437.00","0.023","0.078","27.21","54.58","224.99"
"2022/06/24 00:25","27.00","2.00","2.00","2.00","437.00","0.023","0.081","27.19","54.64","224.85"
"2022/06/24 00:26","27.00","2.00","2.00","2.00","437.00","0.022","0.084","27.18","54.64","224.76"
"2022/06/24 00:27","27.00","2.00","2.00","2.00","435.00","0.023","0.084","27.16","54.67","224.60"
