"DateTime","IAQ Index
室內空氣指數","PM1超細懸浮微粒","PM2.5細懸浮微粒","PM10懸浮顆粒","CO2二氧化碳","CH2O甲醛","TVOC揮發物質","TEMP溫度","HUMD濕度","Fungi黴菌指數"
,"","μg/m³","μg/m³","μg/m³","ppm","ppm","ppm","℃","%",""
"2022/09/03 13:59","25.00","0.00","1.00","1.00","413.00","0.000","0.020","28.08","80.11","168.69"
"2022/09/03 14:00","26.00","0.00","1.00","1.00","416.00","0.008","0.022","27.99","79.52","168.79"
"2022/09/03 14:01","26.00","0.00","1.00","1.00","423.00","0.053","0.109","27.94","78.67","169.69"
"2022/09/03 14:02","26.00","1.00","1.00","1.00","428.00","0.036","0.111","27.83","77.87","170.45"
"2022/09/03 14:03","27.00","0.00","1.00","1.00","433.00","0.031","0.113","27.69","76.39","171.48"
"2022/09/03 14:04","27.00","0.00","1.00","1.00","436.00","0.029","0.114","27.53","75.92","171.96"
"2022/09/03 14:05","27.00","0.00","1.00","1.00","441.00","0.030","0.112","27.47","75.37","171.47"
"2022/09/03 14:06","27.00","0.00","1.00","1.00","443.00","0.028","0.108","27.33","74.88","171.17"
"2022/09/03 14:07","27.00","0.00","1.00","1.00","447.00","0.027","0.107","27.26","74.07","170.88"
"2022/09/03 14:08","28.00","0.00","1.00","1.00","448.00","0.027","0.108","27.19","73.60","170.58"
"2022/09/03 14:09","28.00","0.00","1.00","1.00","448.00","0.024","0.107","27.13","72.50","170.33"
"2022/09/03 14:10","102.00","0.00","1.00","1.00","450.00","0.170","0.626","27.05","72.10","169.95"
"2022/09/03 14:11","93.00","0.00","1.00","1.00","451.00","0.106","0.527","27.02","71.90","169.69"
"2022/09/03 14:12","102.00","1.00","1.00","1.00","453.00","0.256","0.630","26.94","70.82","169.53"
"2022/09/03 14:13","96.00","0.00","1.00","1.00","450.00","0.067","0.542","26.86","70.40","169.11"
"2022/09/03 14:14","83.00","0.00","1.00","1.00","448.00","0.077","0.476","26.81","70.38","168.60"
"2022/09/03 14:15","88.00","0.00","1.00","1.00","449.00","0.072","0.504","26.75","69.79","168.07"
"2022/09/03 14:16","88.00","0.00","1.00","1.00","451.00","0.095","0.505","26.68","69.52","167.46"
"2022/09/03 14:17","70.00","0.00","1.00","1.00","453.00","0.053","0.416","26.65","69.62","166.87"
