"DateTime","IAQ Index
室內空氣指數","PM1超細懸浮微粒","PM2.5細懸浮微粒","PM10懸浮顆粒","CO2二氧化碳","CH2O甲醛","TVOC揮發物質","TEMP溫度","HUMD濕度","Fungi黴菌指數"
,"","μg/m³","μg/m³","μg/m³","ppm","ppm","ppm","℃","%",""
"2022/07/04 00:00","83.00","1.00","1.00","2.00","415.00","0.147","0.476","30.27","67.99","283.67"
"2022/07/04 00:01","80.00","1.00","1.00","2.00","416.00","0.148","0.464","30.32","67.98","284.40"
"2022/07/04 00:02","81.00","1.00","1.00","2.00","415.00","0.147","0.466","30.29","67.97","284.74"
"2022/07/04 00:03","80.00","0.00","1.00","1.00","415.00","0.145","0.461","30.29","67.91","284.69"
"2022/07/04 00:04","79.00","1.00","1.00","1.00","417.00","0.142","0.456","30.30","67.88","284.11"
"2022/07/04 00:05","78.00","1.00","1.00","2.00","418.00","0.141","0.451","30.30","67.83","283.85"
"2022/07/04 00:06","74.00","1.00","1.00","2.00","420.00","0.134","0.434","30.30","67.81","284.34"
"2022/07/04 00:07","75.00","1.00","1.00","2.00","423.00","0.134","0.440","30.30","67.77","284.86"
"2022/07/04 00:08","73.00","0.00","1.00","1.00","422.00","0.130","0.428","30.30","67.73","285.19"
"2022/07/04 00:09","72.00","0.00","1.00","1.00","419.00","0.129","0.422","30.29","67.70","284.60"
"2022/07/04 00:10","69.00","1.00","1.00","1.00","419.00","0.128","0.410","30.27","67.71","284.09"
"2022/07/04 00:11","68.00","1.00","1.00","1.00","418.00","0.123","0.402","30.29","67.59","283.56"
"2022/07/04 00:12","68.00","0.00","1.00","1.00","416.00","0.119","0.404","30.29","67.58","283.04"
"2022/07/04 00:13","66.00","1.00","1.00","1.00","415.00","0.114","0.392","30.29","67.54","282.55"
"2022/07/04 00:14","64.00","1.00","1.00","1.00","417.00","0.113","0.384","30.26","67.51","282.11"
"2022/07/04 00:15","60.00","0.00","1.00","1.00","416.00","0.110","0.366","30.29","67.51","281.74"
"2022/07/04 00:16","61.00","1.00","1.00","1.00","416.00","0.107","0.368","30.30","67.49","281.45"
"2022/07/04 00:17","59.00","1.00","1.00","1.00","413.00","0.103","0.357","30.32","67.47","281.15"
"2022/07/04 00:18","56.00","1.00","1.00","1.00","416.00","0.103","0.344","30.32","67.44","280.86"
"2022/07/04 00:19","57.00","1.00","1.00","2.00","418.00","0.103","0.347","30.30","67.46","281.02"
"2022/07/04 00:20","56.00","1.00","1.00","2.00","420.00","0.101","0.343","30.30","67.48","281.86"
"2022/07/04 00:21","55.00","0.00","1.00","2.00","419.00","0.099","0.338","30.29","67.46","282.62"
"2022/07/04 00:22","49.00","1.00","1.00","2.00","418.00","0.101","0.309","30.27","67.51","283.19"
"2022/07/04 00:23","49.00","0.00","1.00","2.00","418.00","0.099","0.311","30.29","67.49","283.63"
"2022/07/04 00:24","49.00","1.00","1.00","2.00","418.00","0.096","0.306","30.29","67.47","284.13"
"2022/07/04 00:25","51.00","0.00","1.00","1.00","421.00","0.097","0.319","30.26","67.55","284.95"
"2022/07/04 00:26","51.00","1.00","1.00","1.00","421.00","0.099","0.321","30.27","67.48","284.41"
"2022/07/04 00:27","49.00","1.00","1.00","1.00","419.00","0.097","0.311","30.27","67.48","283.92"
"2022/07/04 00:28","49.00","0.00","1.00","1.00","420.00","0.099","0.308","30.27","67.45","283.42"
"2022/07/04 00:29","48.00","1.00","1.00","1.00","420.00","0.102","0.303","30.26","67.51","283.02"
"2022/07/04 00:30","47.00","1.00","1.00","1.00","420.00","0.105","0.298","30.29","67.53","282.57"
"2022/07/04 00:31","50.00","1.00","1.00","1.00","419.00","0.107","0.312","30.26","67.55","282.14"
"2022/07/04 00:32","51.00","1.00","1.00","2.00","419.00","0.108","0.320","30.29","67.54","282.60"
"2022/07/04 00:33","52.00","1.00","1.00","2.00","417.00","0.108","0.324","30.29","67.51","283.66"
"2022/07/04 00:34","50.00","1.00","1.00","2.00","418.00","0.110","0.315","30.27","67.50","284.10"
"2022/07/04 00:35","52.00","1.00","1.00","2.00","417.00","0.111","0.324","30.27","67.52","284.48"
"2022/07/04 00:36","52.00","0.00","1.00","2.00","418.00","0.114","0.326","30.27","67.48","284.79"
"2022/07/04 00:37","54.00","0.00","1.00","2.00","419.00","0.125","0.334","30.26","67.42","285.15"
"2022/07/04 00:38","57.00","1.00","1.00","2.00","417.00","0.125","0.350","30.27","67.41","285.42"
"2022/07/04 00:39","56.00","1.00","1.00","1.00","417.00","0.130","0.342","30.24","67.45","284.83"
"2022/07/04 00:40","57.00","1.00","1.00","1.00","417.00","0.132","0.350","30.26","67.44","284.10"
"2022/07/04 00:41","61.00","1.00","1.00","2.00","416.00","0.137","0.367","30.24","67.47","283.94"
"2022/07/04 00:42","61.00","1.00","1.00","2.00","415.00","0.144","0.371","30.24","67.47","284.20"
"2022/07/04 00:43","66.00","1.00","1.00","1.00","416.00","0.154","0.392","30.23","67.46","283.97"
"2022/07/04 00:44","68.00","0.00","1.00","2.00","413.00","0.152","0.405","30.24","67.47","283.92"
"2022/07/04 00:45","69.00","1.00","1.00","3.00","416.00","0.157","0.411","30.24","67.47","284.37"
"2022/07/04 00:46","71.00","0.00","1.00","3.00","417.00","0.164","0.418","30.26","67.47","285.71"
"2022/07/04 00:47","75.00","1.00","1.00","2.00","420.00","0.178","0.440","30.24","67.45","286.61"
"2022/07/04 00:48","79.00","1.00","1.00","2.00","417.00","0.180","0.457","30.23","67.48","286.67"
"2022/07/04 00:49","84.00","1.00","1.00","2.00","419.00","0.193","0.482","30.27","67.38","286.84"
"2022/07/04 00:50","87.00","1.00","1.00","2.00","422.00","0.192","0.496","30.20","67.39","286.98"
"2022/07/04 00:51","86.00","1.00","1.00","2.00","424.00","0.189","0.494","30.24","67.35","287.18"
"2022/07/04 00:52","85.00","1.00","1.00","2.00","425.00","0.188","0.487","30.24","67.39","287.44"
"2022/07/04 00:53","89.00","1.00","1.00","2.00","424.00","0.198","0.510","30.23","67.35","287.63"
"2022/07/04 00:54","93.00","1.00","1.00","2.00","424.00","0.204","0.529","30.24","67.36","287.78"
"2022/07/04 00:55","92.00","1.00","1.00","3.00","423.00","0.207","0.522","30.24","67.30","288.24"
"2022/07/04 00:56","97.00","1.00","1.00","1.00","423.00","0.206","0.548","30.24","67.32","288.03"
"2022/07/04 00:57","97.00","1.00","1.00","1.00","424.00","0.206","0.549","30.23","67.33","287.15"
"2022/07/04 00:58","99.00","0.00","1.00","2.00","423.00","0.210","0.558","30.23","67.30","286.85"
"2022/07/04 00:59","100.00","1.00","1.00","2.00","426.00","0.215","0.562","30.24","67.31","287.13"
"2022/07/04 01:00","100.00","1.00","1.00","2.00","425.00","0.211","0.566","30.23","67.31","287.40"
"2022/07/04 01:01","100.00","0.00","1.00","3.00","425.00","0.211","0.575","30.22","67.34","287.77"
"2022/07/04 01:02","100.00","1.00","1.00","1.00","424.00","0.214","0.573","30.22","67.34","287.72"
"2022/07/04 01:03","100.00","0.00","1.00","2.00","425.00","0.213","0.580","30.24","67.31","287.10"
"2022/07/04 01:04","100.00","0.00","1.00","2.00","423.00","0.214","0.588","30.23","67.33","287.28"
"2022/07/04 01:05","101.00","1.00","1.00","2.00","422.00","0.212","0.589","30.24","67.36","287.47"
"2022/07/04 01:06","100.00","0.00","1.00","2.00","422.00","0.210","0.582","30.23","67.35","287.57"
"2022/07/04 01:07","100.00","1.00","1.00","2.00","420.00","0.208","0.584","30.23","67.35","287.62"
"2022/07/04 01:08","101.00","1.00","1.00","2.00","418.00","0.211","0.590","30.23","67.31","287.58"
"2022/07/04 01:09","101.00","0.00","1.00","2.00","418.00","0.214","0.597","30.24","67.22","287.58"
"2022/07/04 01:10","101.00","0.00","1.00","1.00","420.00","0.215","0.601","30.22","67.16","287.42"
"2022/07/04 01:11","101.00","0.00","1.00","1.00","420.00","0.216","0.595","30.20","67.12","286.47"
"2022/07/04 01:12","101.00","0.00","1.00","1.00","422.00","0.217","0.596","30.20","67.05","285.67"
"2022/07/04 01:13","101.00","1.00","1.00","2.00","424.00","0.216","0.609","30.23","67.00","285.82"
"2022/07/04 01:14","101.00","0.00","1.00","2.00","421.00","0.215","0.604","30.23","66.94","286.15"
"2022/07/04 01:15","101.00","1.00","1.00","2.00","419.00","0.213","0.616","30.22","66.80","286.36"
"2022/07/04 01:16","101.00","1.00","1.00","2.00","418.00","0.211","0.617","30.20","66.80","286.56"
"2022/07/04 01:17","101.00","1.00","1.00","1.00","418.00","0.213","0.602","30.23","66.67","286.21"
"2022/07/04 01:18","101.00","0.00","1.00","1.00","419.00","0.212","0.598","30.22","66.65","285.43"
